----------------------------------------------------------------------
Process log
Log file created at : Sun Nov 17 17:48:28 2024
----------------------------------------------------------------------
{'name': 'kernel_task', 'pid': 0, 'username': 'root'} 
{'name': 'launchd', 'pid': 1, 'username': 'root'} 
{'name': 'logd', 'pid': 85, 'username': 'root'} 
{'name': 'smd', 'pid': 86, 'username': 'root'} 
{'name': 'UserEventAgent', 'pid': 87, 'username': 'root'} 
{'name': 'uninstalld', 'pid': 89, 'username': 'root'} 
{'name': 'fseventsd', 'pid': 90, 'username': 'root'} 
{'name': 'mediaremoted', 'pid': 91, 'username': 'root'} 
{'name': 'systemstats', 'pid': 94, 'username': 'root'} 
{'name': 'configd', 'pid': 97, 'username': 'root'} 
{'name': 'endpointsecurity', 'pid': 98, 'username': 'root'} 
{'name': 'powerd', 'pid': 99, 'username': 'root'} 
{'name': 'IOMFB_bics_daemo', 'pid': 100, 'username': 'root'} 
{'name': 'biomed', 'pid': 101, 'username': '_biome'} 
{'name': 'amfid', 'pid': 103, 'username': 'root'} 
{'name': 'remoted', 'pid': 105, 'username': 'root'} 
{'name': 'keybagd', 'pid': 107, 'username': 'root'} 
{'name': 'softwareupdated', 'pid': 108, 'username': '_softwareupdate'} 
{'name': 'watchdogd', 'pid': 110, 'username': 'root'} 
{'name': 'mds', 'pid': 114, 'username': 'root'} 
{'name': 'iconservicesd', 'pid': 115, 'username': '_iconservices'} 
{'name': 'kernelmanagerd', 'pid': 116, 'username': 'root'} 
{'name': 'diskarbitrationd', 'pid': 117, 'username': 'root'} 
{'name': 'coreduetd', 'pid': 120, 'username': 'root'} 
{'name': 'syslogd', 'pid': 121, 'username': 'root'} 
{'name': 'thermalmonitord', 'pid': 124, 'username': 'root'} 
{'name': 'opendirectoryd', 'pid': 125, 'username': 'root'} 
{'name': 'apsd', 'pid': 126, 'username': 'root'} 
{'name': 'launchservicesd', 'pid': 127, 'username': 'root'} 
{'name': 'timed', 'pid': 128, 'username': '_timed'} 
{'name': 'usbmuxd', 'pid': 129, 'username': '_usbmuxd'} 
{'name': 'securityd', 'pid': 130, 'username': 'root'} 
{'name': 'locationd', 'pid': 132, 'username': '_locationd'} 
{'name': 'autofsd', 'pid': 134, 'username': 'root'} 
{'name': 'dasd', 'pid': 135, 'username': 'root'} 
{'name': 'kdc', 'pid': 136, 'username': 'root'} 
{'name': 'distnoted', 'pid': 138, 'username': '_distnote'} 
{'name': 'AppleCredentialM', 'pid': 139, 'username': 'root'} 
{'name': 'PerfPowerService', 'pid': 140, 'username': 'root'} 
